client_id,signup_date,region,acquisition_channel
134,2023-06-15,NA,Ads
135,2023-07-05,SEA,Referral
136,2024-10-07,MENA,Referral
137,2024-07-29,MENA,Ads
138,2024-12-15,NA,Organic
139,2023-09-07,MENA,Ads
140,2025-02-26,NA,Referral
141,2024-08-23,EU,Referral
142,2024-06-16,EU,Referral
143,2023-12-24,SEA,Referral
144,2024-12-29,MENA,Organic
145,2024-08-07,SEA,Referral
146,2023-06-18,MENA,Organic
147,2023-12-12,NA,Ads
148,2024-11-10,NA,Ads
149,2024-07-19,SEA,Email
150,2024-03-25,MENA,Organic
151,2024-01-04,MENA,Ads
152,2024-03-27,MENA,Referral
153,2024-05-28,EU,Email
154,2025-01-07,EU,Organic
155,2025-01-31,NA,Referral
156,2024-02-10,MENA,Referral
157,2024-08-29,EU,Ads
158,2025-03-23,MENA,Referral
159,2024-03-16,SEA,Ads
160,2024-11-13,EU,Ads
161,2024-06-25,EU,Email
162,2023-09-23,MENA,Ads
163,2024-07-09,NA,Email
164,2024-04-24,EU,Referral
165,2023-12-12,EU,Organic
166,2024-05-17,SEA,Organic
167,2023-05-25,SEA,Ads
168,2023-12-30,EU,Email
169,2024-01-20,NA,Referral
170,2024-10-27,EU,Ads
171,2023-06-02,MENA,Ads
172,2024-12-09,SEA,Referral
173,2024-05-27,NA,Organic
174,2023-08-03,NA,Referral
175,2024-08-26,SEA,Referral
176,2023-05-28,MENA,Organic
177,2024-12-27,NA,Ads
178,2024-03-22,NA,Organic
179,2025-03-09,MENA,Email
180,2023-10-08,NA,Referral
181,2024-07-05,SEA,Organic
182,2024-01-01,SEA,Ads
183,2024-11-01,NA,Organic
184,2023-10-18,SEA,Organic
185,2024-04-06,EU,Referral
186,2024-06-14,SEA,Organic
187,2025-03-02,NA,Referral
188,2024-04-24,MENA,Referral
189,2024-03-07,NA,Email
190,2024-10-27,NA,Email
191,2024-11-03,NA,Ads
192,2025-02-08,EU,Email
193,2024-07-19,SEA,Ads
194,2024-01-27,NA,Email
195,2025-02-23,MENA,Referral
196,2024-12-27,NA,Ads
197,2023-12-15,SEA,Referral
198,2025-03-25,SEA,Email
199,2023-11-18,SEA,Ads
200,2023-11-27,SEA,Ads
201,2024-03-12,MENA,Referral
202,2023-05-29,NA,Organic
203,2025-01-02,EU,Referral
204,2024-08-18,EU,Ads
205,2023-07-01,EU,Organic
206,2023-08-13,MENA,Ads
207,2024-12-10,SEA,Organic
208,2023-09-08,SEA,Email
209,2025-01-02,EU,Email
210,2023-07-05,SEA,Email
211,2024-08-26,EU,Ads
212,2024-01-26,MENA,Organic
213,2024-06-28,SEA,Ads
214,2023-11-01,EU,Email
215,2023-05-31,MENA,Ads
216,2025-03-16,MENA,Email
217,2023-05-23,EU,Email
218,2024-08-07,NA,Email
219,2023-05-11,SEA,Email
220,2023-04-25,EU,Email
221,2024-07-18,SEA,Referral
222,2023-11-23,EU,Referral
223,2023-12-12,SEA,Ads
224,2024-11-30,NA,Email
225,2024-11-15,MENA,Referral
226,2023-07-25,EU,Referral
227,2024-06-05,NA,Referral
228,2023-11-13,MENA,Ads
229,2024-12-06,EU,Ads
230,2024-02-03,SEA,Ads
231,2024-11-29,EU,Organic
232,2024-09-12,SEA,Email
233,2024-07-10,NA,Email
234,2023-09-26,SEA,Organic
235,2025-03-29,EU,Email
236,2024-05-30,SEA,Organic
237,2023-09-02,SEA,Email
238,2024-07-28,MENA,Referral
239,2024-07-12,NA,Email
240,2023-06-09,SEA,Ads
241,2024-11-27,SEA,Ads
242,2024-10-23,NA,Email
243,2024-02-14,SEA,Organic
244,2024-02-26,SEA,Referral
245,2024-06-27,SEA,Ads
246,2024-12-06,SEA,Ads
247,2024-08-10,MENA,Email
248,2024-02-26,MENA,Organic
249,2024-03-13,SEA,Ads
250,2023-04-29,SEA,Ads
251,2025-01-29,MENA,Referral
252,2024-04-28,SEA,Referral
253,2023-10-02,EU,Email
254,2024-05-13,NA,Referral
255,2024-12-08,SEA,Referral
256,2024-04-09,SEA,Referral
257,2024-03-21,MENA,Email
258,2024-08-07,MENA,Organic
259,2023-08-17,NA,Ads
260,2023-06-06,MENA,Organic
261,2024-02-23,MENA,Ads
262,2023-05-13,EU,Organic
263,2024-03-23,EU,Ads
264,2023-10-15,EU,Email
265,2024-07-25,MENA,Ads
266,2023-06-08,SEA,Referral
267,2023-08-13,NA,Ads
268,2024-09-12,MENA,Ads
269,2024-08-25,NA,Organic
270,2025-03-09,MENA,Referral
271,2023-12-28,SEA,Email
272,2023-07-15,EU,Organic
273,2024-08-04,EU,Organic
274,2024-11-13,NA,Organic
275,2024-04-21,MENA,Referral
276,2024-09-27,SEA,Referral
277,2024-11-19,MENA,Referral
278,2025-03-11,MENA,Email
279,2023-09-08,SEA,Organic
280,2023-11-09,SEA,Referral
281,2023-12-15,SEA,Ads
282,2024-05-27,SEA,Ads
283,2023-11-04,NA,Email
284,2024-12-01,SEA,Email
285,2023-05-13,NA,Referral
286,2024-10-07,EU,Organic
287,2023-10-02,NA,Email
288,2023-07-16,EU,Email
289,2024-09-30,SEA,Referral
290,2024-05-12,MENA,Email
291,2024-08-09,NA,Ads
292,2024-10-25,SEA,Ads
293,2024-09-13,NA,Referral
294,2024-02-02,NA,Referral
295,2024-02-04,NA,Organic
296,2025-03-10,EU,Organic
297,2024-07-31,EU,Email
298,2023-11-15,SEA,Ads
299,2023-05-23,SEA,Email
300,2023-11-09,SEA,Organic
301,2024-11-01,MENA,Referral
302,2023-05-09,EU,Email
303,2024-07-13,EU,Referral
304,2024-11-09,NA,Email
305,2024-04-16,NA,Email
306,2024-07-30,NA,Referral
307,2023-11-24,SEA,Referral
308,2024-06-18,NA,Referral
309,2024-03-06,EU,Organic
310,2024-05-22,EU,Referral
311,2023-04-17,MENA,Ads
312,2023-10-01,EU,Ads
313,2023-06-13,SEA,Referral
314,2024-07-13,NA,Organic
315,2023-10-23,EU,Referral
316,2024-08-09,EU,Referral
317,2024-06-18,EU,Referral
318,2024-11-18,MENA,Ads
319,2025-02-01,NA,Organic
320,2025-01-22,MENA,Referral
321,2024-01-21,EU,Email
322,2025-03-03,MENA,Organic
323,2024-06-28,NA,Email
324,2023-10-02,SEA,Email
325,2024-08-20,NA,Ads
326,2024-04-13,MENA,Referral
327,2023-07-16,SEA,Organic
328,2024-01-17,MENA,Email
329,2023-08-19,SEA,Organic
330,2024-05-23,MENA,Ads
331,2024-06-06,EU,Referral
332,2024-04-03,MENA,Ads
333,2024-02-14,MENA,Email
334,2023-11-18,EU,Email
335,2024-07-21,SEA,Email
336,2023-10-12,NA,Email
337,2024-02-21,NA,Organic
338,2023-07-23,MENA,Ads
339,2024-09-11,EU,Referral
340,2023-07-28,MENA,Ads
341,2024-08-14,EU,Ads
342,2025-03-05,MENA,Ads
343,2025-02-28,MENA,Email
344,2023-09-10,SEA,Email
345,2024-08-23,NA,Organic
346,2025-03-31,EU,Referral
347,2024-03-03,NA,Email
348,2024-04-29,MENA,Ads
349,2025-04-05,NA,Ads
350,2023-08-17,SEA,Organic
351,2023-12-27,EU,Ads
352,2025-01-07,NA,Ads
353,2023-11-12,MENA,Organic
354,2024-04-18,EU,Referral
355,2024-09-17,NA,Email
356,2023-08-09,MENA,Email
357,2023-09-28,NA,Email
358,2024-07-19,NA,Email
359,2023-08-28,SEA,Organic
360,2025-03-03,MENA,Email
361,2024-01-08,NA,Referral
362,2023-08-13,MENA,Organic
363,2024-06-17,EU,Organic
364,2024-09-13,NA,Organic
365,2023-07-19,EU,Email
366,2025-01-28,SEA,Referral
367,2023-07-10,EU,Email
368,2023-05-18,SEA,Organic
369,2025-03-06,SEA,Referral
370,2024-02-25,SEA,Referral
371,2023-10-14,NA,Organic
372,2024-02-05,EU,Referral
373,2023-12-18,SEA,Email
374,2023-11-25,NA,Email
375,2024-10-09,MENA,Email
376,2024-09-07,MENA,Referral
377,2024-02-15,NA,Referral
378,2024-11-21,MENA,Email
379,2024-09-24,MENA,Email
380,2025-01-13,SEA,Organic
381,2024-10-07,EU,Referral
382,2024-01-10,SEA,Email
383,2024-02-24,MENA,Ads
384,2023-07-03,NA,Ads
385,2023-07-04,NA,Email
386,2023-10-30,SEA,Organic
387,2024-07-15,MENA,Ads
388,2024-04-02,EU,Referral
389,2023-10-11,MENA,Email
390,2025-02-10,MENA,Ads
391,2024-01-27,MENA,Email
392,2025-04-06,MENA,Ads
393,2024-10-11,SEA,Referral
394,2023-10-20,NA,Email
395,2023-07-21,SEA,Email
396,2023-04-19,EU,Email
397,2024-03-28,EU,Email
398,2025-01-23,EU,Ads
399,2023-11-07,MENA,Referral
400,2024-03-28,SEA,Referral
401,2024-09-08,NA,Organic
402,2023-12-08,NA,Referral
403,2024-05-25,SEA,Ads
404,2024-11-27,SEA,Email
405,2023-05-24,NA,Referral
406,2025-03-31,SEA,Email
407,2024-11-30,NA,Ads
408,2025-03-09,EU,Email
409,2023-07-26,EU,Email
410,2024-04-22,MENA,Referral
411,2023-05-28,SEA,Email
412,2024-04-29,SEA,Ads
413,2024-12-07,SEA,Organic
414,2024-10-08,EU,Referral
415,2023-09-06,MENA,Email
416,2025-02-12,MENA,Email
417,2024-06-02,MENA,Ads
418,2024-07-25,SEA,Ads
419,2025-02-07,MENA,Email
420,2024-01-16,NA,Referral
421,2024-01-12,SEA,Organic
422,2025-01-28,NA,Email
423,2024-10-27,NA,Email
424,2025-03-11,MENA,Organic
425,2024-03-14,EU,Referral
426,2024-02-02,EU,Organic
427,2024-11-13,SEA,Organic
428,2023-06-10,MENA,Email
429,2023-09-26,EU,Referral
430,2024-08-07,MENA,Organic
431,2024-11-02,NA,Organic
432,2025-01-12,NA,Referral
433,2023-08-30,NA,Email
434,2023-12-30,EU,Ads
435,2023-08-03,SEA,Ads
436,2025-03-03,EU,Ads
437,2024-09-25,MENA,Email
438,2023-07-26,EU,Email
439,2024-07-17,EU,Ads
440,2023-06-03,SEA,Referral
441,2024-06-09,SEA,Referral
442,2024-07-27,MENA,Email
443,2024-02-27,NA,Ads
444,2023-07-16,MENA,Email
445,2023-05-18,NA,Referral
446,2024-07-10,SEA,Referral
447,2024-10-24,SEA,Referral
448,2023-04-22,EU,Email
449,2024-09-26,SEA,Organic
450,2024-05-07,EU,Email
451,2024-05-12,NA,Referral
452,2024-05-22,NA,Organic
453,2024-05-03,SEA,Referral
454,2025-02-09,MENA,Organic
455,2025-01-04,SEA,Referral
456,2023-07-30,EU,Referral
457,2025-02-11,EU,Ads
458,2025-03-12,NA,Ads
459,2023-07-19,MENA,Organic
460,2023-07-29,NA,Email
461,2024-12-01,MENA,Referral
462,2025-01-20,EU,Organic
463,2023-05-06,NA,Referral
464,2023-10-24,SEA,Ads
465,2024-08-18,EU,Ads
466,2023-05-27,NA,Referral
467,2024-08-29,EU,Referral
468,2024-02-29,SEA,Referral
469,2024-02-10,NA,Organic
470,2024-03-15,SEA,Organic
471,2023-10-03,EU,Ads
472,2023-05-14,SEA,Referral
473,2024-03-05,MENA,Email
474,2023-05-05,MENA,Referral
475,2025-01-07,MENA,Email
476,2023-04-18,NA,Referral
477,2025-02-12,SEA,Referral
478,2024-07-27,MENA,Ads
479,2025-01-13,SEA,Organic
480,2025-01-22,NA,Ads
481,2023-09-16,MENA,Email
482,2025-01-10,NA,Email
483,2024-12-21,MENA,Ads
484,2025-03-14,MENA,Organic
485,2024-03-13,NA,Email
486,2024-06-03,MENA,Organic
487,2024-06-21,EU,Ads
488,2024-02-06,SEA,Email
489,2023-09-23,NA,Email
490,2025-04-06,EU,Email
491,2024-11-21,MENA,Email
492,2024-01-13,SEA,Referral
493,2023-11-04,MENA,Referral
494,2024-05-25,EU,Email
495,2024-12-17,SEA,Ads
496,2024-08-11,NA,Organic
497,2023-05-29,NA,Referral
498,2024-05-13,MENA,Email
499,2024-01-07,NA,Ads
500,2023-07-18,MENA,Email
