EmployeeID,JoinDate,LastPromotionDate,Age,Gender,Department,Location,JobLevel,EngagementScore,PerformanceScore,ManagerSatisfaction,NumTrainingsCompleted,TenureYears,LeftCompany,AttritionReason
16,2022-04-11,2023-04-11,53,Other,Marketing,New York,3,8.69929395156964,2.393665025993972,2.0645520511031954,4,2,0,
17,2017-11-10,2022-11-09,27,Male,HR,Dubai,1,2.4111539563601703,4.5694808861969305,2.37948459090554,8,7,1,Manager conflict
18,2020-02-14,2023-02-13,29,Other,Sales,Dubai,4,8.068416375307876,3.3494661417402174,2.3413307937260304,1,5,0,
19,2022-02-18,2025-02-17,32,Female,Product,New York,2,6.380365472676662,4.461173766418355,5.0,4,3,0,
20,2017-08-03,2024-08-01,34,Male,Engineering,Remote,3,7.661379083460052,4.372705097990518,5.0,10,7,0,
21,2014-09-01,2023-08-30,22,Female,HR,Berlin,2,6.771507658952973,4.108089662000961,4.345977573599265,5,10,0,
22,2017-11-28,2022-11-27,33,Other,Marketing,New York,3,7.221846755182271,2.8896779826526657,3.120600923828273,2,7,0,
23,2016-02-02,2023-01-31,41,Male,Sales,Remote,5,5.670470731189067,2.1012591183941423,3.0871033504264176,9,9,0,
24,2014-03-05,2018-03-04,23,Other,Product,New York,1,8.001571771178842,4.224083251525877,3.193082435649269,0,11,0,
25,2022-02-11,2025-02-10,54,Female,Sales,New York,5,3.801220053533982,2.48092721463193,3.652414687246158,4,3,0,
26,2019-01-01,2021-12-31,42,Male,Engineering,New York,3,4.001112554400146,2.4037342047186447,4.597861186311214,0,6,0,
27,2012-12-23,2021-12-21,26,Female,Engineering,Berlin,3,5.533754642497414,2.9301716516015963,1.0,9,12,0,
28,2016-08-03,2022-08-02,24,Other,HR,Berlin,3,9.027481061532773,2.653982983544294,2.513012757463925,5,8,0,
29,2016-11-21,2023-11-20,55,Other,Sales,Berlin,2,4.983345758963516,3.9574156487191425,3.4227463390388397,7,8,0,
30,2020-10-06,2022-10-06,32,Other,HR,New York,2,7.189804670089457,4.737016072936461,1.788225338329337,5,4,0,
31,2012-06-18,2013-06-18,51,Other,HR,Berlin,2,1.5024817167225777,4.980328561172163,5.0,0,12,0,
32,2016-01-19,2022-01-17,40,Male,Engineering,Berlin,3,8.96355675343222,2.178123049366561,2.698103961041105,9,9,0,
33,2021-09-13,2023-09-13,35,Other,Product,Berlin,2,9.310410611756376,4.892325753491903,2.443231017764277,8,3,1,Retired
34,2017-01-06,2023-01-05,32,Male,HR,Berlin,4,6.653789897169143,5.0,3.59716496713348,2,8,1,Relocation
35,2020-11-22,2021-11-22,52,Female,Marketing,New York,5,3.3986731378677346,3.5685629748060275,2.225235543528674,1,4,1,Relocation
36,2022-01-10,2025-01-09,48,Female,HR,Dubai,3,7.4471848612703635,4.120548215961735,3.306875147764324,9,3,0,
37,2012-04-18,2018-04-17,23,Other,Engineering,Dubai,1,4.933493415327526,3.1779384837943243,4.4762206608436035,0,12,0,
38,2012-01-14,2022-01-11,39,Other,Sales,Remote,3,4.03827136713209,1.789470421474969,3.6427741902751825,7,13,1,Better offer
39,2012-12-23,2024-12-20,42,Female,Product,Remote,1,8.50097121552421,3.6524208622592593,2.7783233053139282,4,12,1,Relocation
40,2022-05-06,2023-05-06,51,Other,Engineering,Dubai,5,4.806771286270407,3.21451069901367,4.77835096261514,7,2,1,Manager conflict
41,2020-01-28,2023-01-27,47,Other,Engineering,Berlin,4,6.95257653899775,4.347401432576639,3.7097996143897656,2,5,1,Relocation
42,2015-06-01,2022-05-30,54,Other,Sales,Dubai,4,4.066290215281522,2.3086965027973516,4.287864330360596,4,9,0,
43,2012-09-19,2019-09-18,34,Male,Sales,Dubai,2,3.83985186897043,3.474712374428872,5.0,2,12,1,Better offer
44,2012-01-20,2020-01-18,33,Other,Product,Berlin,4,5.030904700104947,4.13424029626429,5.0,0,13,1,Better offer
45,2013-07-06,2016-07-05,43,Other,Engineering,New York,5,7.5792184031673315,2.001704362628069,3.4862678630363257,3,11,0,
46,2013-12-13,2016-12-12,23,Female,HR,Remote,5,7.3267081752472905,3.513001891877907,5.0,9,11,1,Manager conflict
47,2018-05-01,2019-05-01,43,Other,Engineering,Dubai,3,3.6871894656369024,3.4654703439051917,2.3443812487206483,10,6,0,
48,2019-05-25,2022-05-24,35,Male,HR,New York,4,8.454360001626146,2.429107501938888,4.078966898291823,2,5,0,
49,2017-10-23,2023-10-22,52,Female,Sales,Berlin,4,7.71395141913725,3.1510988172272487,4.2273552357189015,2,7,1,Retired
50,2015-07-04,2015-07-04,55,Other,Product,Remote,2,2.6115408125008006,2.5504809548211416,2.7837232021246967,5,9,0,
51,2012-12-25,2019-12-24,28,Female,HR,New York,1,1.8638635036243425,3.2319816481571277,4.815595747449306,10,12,0,
52,2013-08-08,2023-08-06,55,Other,Marketing,Dubai,1,5.829177951858321,3.558208718446,2.128435642603252,2,11,1,Lack of growth
53,2017-01-06,2023-01-05,26,Other,Engineering,Dubai,5,7.399548076977467,5.0,2.6996679500521847,9,8,1,Better offer
54,2012-01-03,2022-12-31,34,Other,HR,New York,4,3.116363487499394,2.7670488649562768,3.7344157670563676,6,13,0,
55,2018-04-19,2018-04-19,28,Male,HR,Berlin,2,4.133468757091162,3.994995654191695,3.301628462535725,8,6,0,
56,2017-03-17,2024-03-15,22,Other,Engineering,Berlin,1,5.12564964933498,1.939442927562731,5.0,6,8,0,
57,2018-11-07,2023-11-06,54,Female,Sales,Remote,1,4.67317492535517,3.0449668260124336,3.0046860641718722,9,6,0,
58,2019-10-11,2021-10-10,44,Other,Marketing,Dubai,4,7.691287303608643,3.8544195851196625,1.2436248938569325,2,5,0,
59,2012-05-27,2020-05-25,40,Female,Product,Dubai,5,5.417429116720065,4.276823004425603,3.4428275466115466,1,12,0,
60,2012-11-20,2024-11-17,34,Other,HR,Remote,3,7.537388915435559,5.0,2.612916282253871,3,12,1,Relocation
61,2014-11-27,2015-11-27,38,Female,Marketing,New York,5,3.8841714006612498,1.5094004504226362,2.4709413372066793,5,10,0,
62,2022-09-25,2024-09-24,52,Male,Sales,New York,2,8.180010753244858,3.364282617681768,2.547793978792867,5,2,0,
63,2021-01-06,2022-01-06,39,Other,HR,Remote,4,3.402342640351816,3.1568709358959017,3.72062661729147,3,4,0,
64,2014-12-25,2022-12-23,48,Male,HR,Berlin,1,7.655794270197669,2.7123980896411286,5.0,0,10,0,
65,2015-01-20,2015-01-20,25,Other,Engineering,Berlin,4,5.038517193540693,2.22008026673687,3.2151296465519974,9,10,1,Manager conflict
66,2020-05-21,2024-05-20,49,Male,Marketing,Dubai,5,10.0,1.0,2.270734830398852,5,4,0,
67,2022-07-02,2023-07-02,41,Male,HR,New York,1,2.5100768568847016,2.19980715840656,5.0,2,2,0,
68,2017-04-05,2023-04-04,23,Other,Sales,New York,1,9.146527614302473,4.941273289066116,1.7769654185846728,10,7,0,
69,2019-10-08,2019-10-08,41,Other,HR,New York,5,7.30995101754105,4.409738174959817,3.2570509690021385,1,5,0,
70,2015-01-02,2020-01-01,30,Male,Sales,Dubai,5,6.621793214234321,3.613517345251248,4.294556809425256,7,10,0,
71,2015-03-28,2016-03-27,27,Male,Product,New York,5,5.2697326444573385,5.0,4.324218215319165,1,10,0,
72,2013-08-12,2018-08-11,31,Male,Sales,Remote,4,6.641944831279492,3.7809918677350325,2.7527605762152874,4,11,0,
73,2012-01-09,2016-01-08,23,Other,Product,New York,3,8.269980934373331,3.035470251355032,2.753315402112465,2,13,0,
74,2013-09-10,2016-09-09,36,Male,Engineering,Dubai,4,5.78902271816728,4.399599875433251,3.8687594250519313,8,11,0,
75,2021-02-17,2023-02-17,40,Male,HR,Remote,4,6.601487917710533,3.9945998918817143,5.0,10,4,1,Retired
76,2020-05-25,2022-05-25,26,Female,Sales,New York,1,2.7510622502809765,2.8847547842305095,3.959359360580944,3,4,0,
77,2022-06-27,2024-06-26,31,Male,Product,New York,2,8.5873512907375,3.72897853818854,1.6591218575612867,7,2,0,
78,2012-03-19,2022-03-17,27,Other,HR,New York,1,7.226139206674618,2.637384878434452,4.448712787308975,9,13,0,
79,2017-10-03,2020-10-02,55,Other,Product,Berlin,3,5.848053718037023,5.0,1.646001261683603,9,7,0,
80,2017-12-06,2017-12-06,36,Female,Engineering,Dubai,2,4.8145298070261555,3.088709409340186,4.680828253475708,1,7,0,
81,2012-09-11,2024-09-08,41,Male,HR,New York,1,10.0,4.565227082546918,1.3495458798377422,1,12,1,Relocation
82,2016-10-12,2023-10-11,45,Male,Product,Remote,5,5.606452976420185,4.658110873500068,4.449995232755523,5,8,0,
83,2019-05-05,2024-05-03,54,Other,HR,Berlin,1,10.0,3.904582895117525,3.6080871043779936,9,5,1,Better offer
84,2022-06-10,2022-06-10,46,Male,HR,Dubai,4,6.665460871600958,2.9945577262081366,1.8718574186977253,3,2,1,Retired
85,2020-09-05,2023-09-05,35,Female,HR,Remote,3,8.808708676817847,3.022618269424679,2.702927068034693,8,4,1,Lack of growth
86,2013-11-20,2015-11-20,50,Male,Product,Remote,1,9.220222732496342,3.8109075655980047,5.0,6,11,0,
87,2022-11-07,2022-11-07,35,Other,Engineering,Remote,1,5.895351515847384,3.4954371710097036,2.6811888786558153,2,2,0,
88,2022-04-03,2023-04-03,52,Female,Sales,Remote,3,6.403609028928374,3.8227185603380893,2.5073228677372126,6,2,0,
89,2014-09-18,2016-09-17,26,Other,Sales,Dubai,3,5.420509281350812,2.0800383670083096,2.4836795153028044,6,10,1,Retired
90,2013-08-26,2021-08-24,23,Male,Marketing,New York,2,6.40950075252136,4.8588166333327285,3.1563841806008965,4,11,0,
91,2015-12-26,2018-12-25,53,Female,Sales,New York,3,6.948184963620833,3.512592400781795,3.617211318258598,6,9,1,Retired
92,2014-12-08,2023-12-06,35,Female,Sales,Remote,1,4.953980432289067,3.028122475882131,2.832582625037614,0,10,1,Lack of growth
93,2016-03-13,2025-03-11,41,Female,HR,New York,1,9.373509345099107,2.79830002299217,3.328060089539504,4,9,0,
94,2019-09-10,2022-09-09,49,Male,Marketing,Remote,5,5.29879063750083,2.512770792327075,2.9106037655006514,4,5,0,
95,2021-04-04,2024-04-03,43,Female,Sales,Berlin,1,3.795098890180006,2.9415796305672397,2.5421177383621605,10,3,0,
96,2015-10-05,2023-10-03,23,Male,Marketing,Dubai,4,3.8243103523832436,3.005106572434719,3.4406245366601627,1,9,0,
97,2014-04-22,2014-04-22,24,Other,Marketing,New York,5,9.955495254868518,2.007398635584307,2.7244406008391016,10,10,0,
98,2016-12-08,2019-12-08,43,Other,Sales,Berlin,2,5.692890086306178,3.3772112508424854,4.27867188950426,4,8,0,
99,2014-05-26,2021-05-24,47,Male,Engineering,Berlin,4,6.784100183835136,4.537158464944625,3.128308275820874,6,10,0,
100,2018-06-13,2020-06-12,24,Female,Marketing,New York,5,4.160365935657982,1.7868654709091225,5.0,9,6,1,Lack of growth
101,2017-03-18,2023-03-17,33,Male,Product,Remote,5,5.111708092985012,3.6098600730432486,3.910948301609017,1,8,1,Manager conflict
102,2019-06-13,2019-06-13,36,Other,Marketing,Dubai,1,10.0,5.0,3.8749501773175368,10,5,1,Manager conflict
103,2017-11-09,2017-11-09,25,Other,Product,New York,3,3.798556094116987,2.8627644679241224,2.712165258237419,4,7,1,Lack of growth
104,2019-03-22,2025-03-20,38,Other,Sales,Berlin,2,4.941839541504249,3.8331732948398245,3.1905174025477483,10,6,0,
105,2022-03-09,2022-03-09,44,Male,Product,Berlin,3,4.844213842168574,3.1961355645690728,3.790800423299735,9,3,1,Lack of growth
106,2015-07-20,2016-07-19,26,Male,Sales,New York,3,10.0,4.437072520315178,2.8168086433414667,5,9,1,Manager conflict
107,2015-08-20,2024-08-17,49,Other,Marketing,New York,5,4.459233505475691,3.2309055620710496,5.0,7,9,1,Manager conflict
108,2021-12-21,2023-12-21,31,Male,Product,Dubai,2,8.255650336960228,4.558424486849588,1.3895126162922629,5,3,0,
109,2018-04-21,2022-04-20,27,Other,Engineering,Dubai,2,8.272127120492307,3.362922178958147,3.740161303008107,7,6,0,
110,2012-04-02,2021-03-31,53,Female,Marketing,Dubai,2,2.15826834373918,3.720074328803621,1.2393398129193276,4,13,1,Relocation
111,2022-02-20,2024-02-20,38,Other,Engineering,Berlin,1,6.110659476245041,4.919672977543745,4.0528844810767035,8,3,0,
112,2014-11-05,2023-11-03,33,Male,Sales,Dubai,3,7.672211209446801,3.6280410685584608,2.9223939808643298,4,10,0,
113,2021-05-23,2021-05-23,32,Other,Engineering,Dubai,3,7.251176135983291,2.1284106202768758,4.08211293393593,6,3,0,
114,2022-10-15,2024-10-14,46,Other,Sales,Dubai,5,2.374948652176501,1.735873100699918,5.0,4,2,0,
115,2020-10-15,2024-10-14,27,Other,Engineering,New York,4,7.620451421941439,2.5878717433905014,4.6965382662773845,4,4,0,
116,2017-07-18,2023-07-17,22,Other,Sales,New York,5,6.029362516185496,3.576048039896385,3.9235519706466824,3,7,0,
117,2016-11-18,2016-11-18,36,Other,Marketing,Remote,5,5.493525028668504,4.545312793007611,3.2169682302191878,8,8,0,
118,2012-03-20,2020-03-18,54,Male,HR,Berlin,5,6.346472181943336,1.3541432401500582,4.115529500949795,9,13,0,
119,2016-01-08,2024-01-06,24,Male,Marketing,Remote,2,10.0,3.535263551971729,2.660329390408897,5,9,1,Better offer
120,2014-05-09,2022-05-07,23,Female,Sales,New York,2,6.927959821468444,3.68150697762731,2.569721847598775,10,10,1,Retired
121,2021-08-14,2022-08-14,34,Male,Engineering,Berlin,4,6.8841807612652985,5.0,3.1964968350716063,10,3,1,Lack of growth
122,2021-12-20,2023-12-20,49,Female,HR,Remote,1,6.75486881333618,3.900218970407038,2.5585857274240373,3,3,0,
123,2012-04-12,2016-04-11,47,Male,Marketing,Remote,1,4.555462904551857,3.5794824518175385,5.0,10,12,1,Manager conflict
124,2020-04-25,2022-04-25,37,Other,Product,Remote,2,1.5865058862730415,2.7436492547156965,1.793295548482791,2,4,0,
125,2014-05-04,2014-05-04,28,Male,Sales,Remote,5,4.377474734106819,2.8456266538869843,2.5721300354566123,10,10,0,
126,2016-12-21,2023-12-20,51,Male,HR,Dubai,3,5.798421509654262,1.3233186107278176,3.03075919852341,5,8,1,Relocation
127,2021-03-05,2023-03-05,46,Other,Engineering,Dubai,5,10.0,2.8759832711114215,3.9818726817511982,10,4,0,
128,2015-02-24,2017-02-23,26,Male,HR,Dubai,2,9.793898020774371,1.4924319786372262,4.780947406681702,9,10,0,
129,2020-06-25,2020-06-25,40,Female,Sales,Dubai,3,6.951994548188059,4.339747437897714,3.4865270679444342,4,4,0,
130,2019-08-12,2019-08-12,40,Female,Sales,Dubai,3,3.2240119285732223,2.882909591713125,1.9893895501373657,6,5,0,
131,2022-07-18,2024-07-17,51,Female,Product,Remote,2,8.094968408956628,3.645204060285458,5.0,6,2,0,
132,2016-04-26,2022-04-25,29,Male,Product,Berlin,3,6.350984706937655,5.0,5.0,3,8,1,Lack of growth
133,2015-12-20,2017-12-19,26,Other,Product,New York,5,5.174752482108307,4.070598668593159,2.5840890121489797,4,9,0,
134,2012-12-07,2019-12-06,28,Other,Product,New York,3,2.890235798670962,3.041380723057001,3.1319403208138192,0,12,0,
135,2018-08-16,2023-08-15,37,Other,Marketing,Remote,4,7.777184917554748,1.8384799377310401,3.4207042416232203,5,6,0,
136,2014-09-10,2018-09-09,25,Female,HR,Dubai,4,4.077967600475087,3.3514485949929504,3.0110478348376817,1,10,0,
137,2017-05-22,2020-05-21,34,Other,Marketing,New York,3,8.512585618428881,2.923108130476851,4.50283053447817,8,7,0,
138,2014-05-06,2024-05-03,48,Female,HR,Berlin,1,4.240586290684764,5.0,2.7747026262419454,0,10,1,Manager conflict
139,2018-08-07,2024-08-05,34,Female,Engineering,Berlin,1,7.403031884037939,4.143802601704318,4.320753964969341,8,6,1,Better offer
140,2014-07-20,2022-07-18,29,Female,Engineering,Remote,3,6.210951829292191,3.9880440793787493,5.0,5,10,1,Lack of growth
141,2015-01-02,2017-01-01,48,Male,Engineering,New York,1,5.310967894551501,4.088328518460642,3.117825787219593,7,10,1,Manager conflict
142,2014-11-02,2019-11-01,42,Female,Sales,Berlin,1,5.8618859578673135,4.242364916259119,3.792147812839865,10,10,1,Manager conflict
143,2013-02-24,2022-02-22,42,Male,HR,New York,5,9.918584989459244,4.324900186128734,5.0,4,12,0,
144,2022-01-13,2024-01-13,38,Female,Sales,Berlin,3,5.703253219646103,4.5515930406716665,2.4877460453054354,5,3,1,Retired
145,2013-10-12,2014-10-12,33,Male,Product,Remote,1,7.153854747528325,3.2808994711911357,4.495286697420187,5,11,0,
146,2019-12-06,2024-12-04,45,Other,Marketing,Dubai,1,2.0777293819842297,1.2109387430670027,5.0,3,5,1,Manager conflict
147,2014-05-22,2024-05-19,32,Male,Sales,New York,4,8.332342531209243,4.590362911693646,5.0,5,10,0,
148,2012-07-28,2013-07-28,33,Other,Product,New York,1,6.435339498149772,4.470077777913726,4.364927658968693,8,12,0,
149,2020-11-02,2020-11-02,39,Other,Sales,Remote,5,7.817410251419508,2.5908423829148757,5.0,7,4,0,
150,2017-09-24,2022-09-23,25,Female,Marketing,Remote,2,6.422375434559947,1.2551970922926907,4.310970476052897,1,7,0,
151,2014-12-06,2016-12-05,53,Male,Marketing,Dubai,3,6.610311752837224,5.0,2.277656662274615,8,10,0,
152,2013-01-02,2014-01-02,35,Male,Sales,Dubai,3,10.0,4.830438563269083,5.0,7,12,0,
153,2019-07-13,2024-07-11,41,Other,Marketing,New York,3,4.383229194305896,2.9870856250285844,3.7047130442970357,9,5,1,Manager conflict
154,2014-10-10,2021-10-08,54,Male,Product,New York,4,8.171130796699808,4.154365656354058,3.433298394907454,5,10,0,
155,2016-11-27,2021-11-26,50,Male,Engineering,Remote,4,6.861061683610862,5.0,3.256584536395817,2,8,0,
156,2018-05-14,2019-05-14,23,Female,Engineering,Remote,3,6.5938308699005175,4.704970647300748,4.306910022674112,0,6,1,Relocation
157,2014-08-23,2019-08-22,24,Female,Sales,Remote,4,5.245162231245046,3.004610757068753,4.002607296642184,4,10,0,
158,2017-04-21,2018-04-21,41,Female,Sales,New York,3,5.721423616545014,2.445363111133908,2.6246310772354033,10,7,0,
159,2022-08-17,2022-08-17,52,Other,Engineering,Dubai,2,9.294328855097621,2.80960071569825,4.239458980361673,1,2,0,
160,2018-06-17,2018-06-17,51,Other,Engineering,Remote,1,5.239174751940732,3.289983301624906,2.3629522552569053,8,6,0,
161,2017-07-23,2023-07-22,29,Female,Product,Remote,4,3.388500048256743,1.0,3.693623871054683,5,7,1,Lack of growth
162,2017-08-10,2023-08-09,38,Female,HR,Dubai,1,8.05094514497783,3.3090885086116573,3.8755689821802224,4,7,0,
163,2013-08-17,2018-08-16,51,Male,HR,Remote,1,8.577652290223858,2.8017839716846478,2.411715807029895,3,11,0,
164,2020-11-11,2021-11-11,47,Male,Sales,Berlin,2,5.0587355293936325,3.9453988244117406,3.5170542665794366,1,4,0,
165,2019-09-26,2022-09-25,22,Male,Sales,Berlin,5,8.71464779248723,3.6759566572212443,1.8924458021674504,10,5,0,
166,2021-06-28,2022-06-28,54,Other,HR,Dubai,2,6.797780455304447,2.6291353523536714,1.5656465844198986,9,3,0,
167,2021-10-10,2023-10-10,24,Other,Engineering,Remote,4,5.3656736641292095,4.6288887430469075,5.0,2,3,0,
168,2014-08-16,2021-08-14,22,Other,Engineering,New York,4,5.352829683319811,3.8031056661005787,4.899800995910127,8,10,0,
169,2014-06-26,2024-06-23,39,Other,HR,New York,5,6.969628173591133,5.0,1.658385821620693,1,10,0,
170,2022-09-18,2024-09-17,32,Other,Engineering,Berlin,5,10.0,3.1434679100559233,3.7859555145457384,4,2,0,
171,2012-06-10,2013-06-10,22,Female,Marketing,Dubai,2,6.719465278375585,3.3160638445910213,4.116554496296733,1,12,0,
172,2022-12-05,2022-12-05,38,Female,Engineering,Berlin,3,5.911266677963388,4.722203346207937,1.0,7,2,0,
173,2014-09-12,2023-09-10,38,Other,Sales,Remote,1,6.551142672818867,2.089149469594217,1.4497960645177912,1,10,0,
174,2015-07-19,2018-07-18,45,Female,Engineering,Berlin,1,8.520690005883155,3.6432154524975213,4.673951578539509,7,9,0,
175,2012-03-24,2025-03-21,47,Other,Sales,Dubai,1,8.12772781624721,2.559586225432098,3.7815824061861036,9,13,1,Manager conflict
176,2022-05-06,2023-05-06,38,Male,Product,Berlin,1,7.005511015075774,2.4189366724001027,4.2391227283331165,8,2,0,
177,2014-05-02,2015-05-02,40,Female,HR,New York,5,3.1604416558632,5.0,2.010198522861053,3,10,0,
178,2015-03-23,2015-03-23,48,Male,Marketing,Remote,2,4.867389181890308,1.9433708264760963,4.227211941614767,2,10,0,
179,2016-11-08,2018-11-08,44,Other,Engineering,Dubai,3,8.993389473059175,1.3301223129591415,1.395836700499205,0,8,0,
180,2018-10-26,2018-10-26,25,Female,Product,Dubai,2,5.410155530082182,4.471822690172735,3.462850099236112,0,6,1,Relocation
181,2012-09-02,2021-08-31,31,Female,Engineering,Remote,3,10.0,1.0,4.543688528274095,3,12,1,Better offer
182,2019-10-09,2021-10-08,50,Female,HR,New York,3,8.614249866712617,4.117389809720326,2.059796004318069,9,5,0,
183,2017-05-26,2017-05-26,23,Female,Sales,New York,2,8.706050533555565,4.651425374464733,3.644776671193754,5,7,0,
184,2013-08-02,2024-07-30,27,Other,Sales,New York,5,9.124183899499286,3.908252755714472,1.4568996749145917,7,11,1,Better offer
185,2016-08-23,2020-08-22,46,Other,Sales,Remote,4,5.56170455961013,4.02693741263179,5.0,6,8,0,
186,2015-01-01,2020-12-30,53,Other,Engineering,New York,1,9.640989270522278,1.6591257686683547,1.9645076399171582,9,10,0,
187,2018-04-10,2024-04-08,35,Male,HR,Remote,5,5.803973827406322,3.698558362896292,1.7787620394093853,6,6,0,
188,2013-05-10,2023-05-08,42,Male,Product,Dubai,3,7.6620440197319715,2.5767667538890957,1.8779784732603997,5,11,0,
189,2012-12-01,2019-11-30,54,Female,Engineering,Berlin,5,6.244608298778457,4.055145288711121,1.3942557913097193,0,12,1,Manager conflict
190,2020-09-08,2024-09-07,30,Male,Marketing,New York,4,6.252212042518882,3.783558070610913,3.1632607806022226,2,4,0,
191,2020-10-12,2020-10-12,50,Male,Marketing,Berlin,5,3.12088554784346,4.48712220012871,3.0773924196804914,0,4,1,Manager conflict
192,2014-01-01,2014-01-01,30,Male,Product,Dubai,1,6.985040851225039,3.4650115095030385,5.0,1,11,0,
193,2016-07-13,2024-07-11,50,Other,Product,New York,5,3.3840953646466643,3.099618639816682,4.099685144134533,10,8,0,
194,2021-09-10,2022-09-10,47,Other,Marketing,Remote,4,7.565190218741102,4.121809962217196,1.6157303361314523,3,3,0,
195,2020-09-03,2023-09-03,41,Female,Engineering,Berlin,2,3.861304221725189,3.273754780991324,4.77748241363204,9,4,0,
196,2013-09-16,2013-09-16,49,Female,HR,Berlin,1,6.7392113377741385,4.304803178733805,4.61630401514425,8,11,1,Retired
197,2019-12-15,2023-12-14,24,Other,HR,Dubai,3,9.2096903447465,4.528642630303066,3.673924897737417,8,5,0,
198,2014-07-03,2019-07-02,38,Female,HR,Berlin,3,5.735033965083817,2.249003669018153,5.0,7,10,0,
199,2020-03-01,2020-03-01,29,Other,Marketing,New York,2,7.21505248767444,2.912730582233821,3.2686642553136704,9,5,0,
200,2020-02-16,2021-02-15,42,Female,Engineering,New York,1,6.191926568066536,4.156883366224343,4.4499789775073495,5,5,0,
201,2022-10-13,2024-10-12,22,Other,Sales,New York,4,9.213266764366908,1.0,5.0,2,2,0,
202,2017-05-08,2018-05-08,26,Other,Sales,Berlin,5,9.094812229725248,2.6442252505874286,5.0,9,7,0,
203,2022-04-24,2022-04-24,34,Female,Engineering,Dubai,2,9.011512251147042,2.605392697780496,3.275754027006369,0,2,1,Manager conflict
204,2016-11-16,2021-11-15,48,Other,HR,Berlin,3,5.62053788345165,2.849415158443143,4.752255091143864,6,8,0,
205,2017-11-07,2017-11-07,41,Male,HR,Dubai,1,7.034100531738518,4.389630795623437,3.598740787130509,5,7,0,
206,2018-01-17,2022-01-16,47,Male,Engineering,New York,5,8.630960750130702,3.475722720108058,2.833731201045486,2,7,1,Manager conflict
207,2017-08-15,2018-08-15,28,Male,Engineering,Dubai,3,5.14458198874991,1.9787551254113545,3.180419205772756,10,7,0,
208,2017-02-13,2017-02-13,28,Female,HR,Dubai,1,5.1709301407155746,1.6386510963231766,3.1403137080689567,2,8,0,
209,2020-08-08,2021-08-08,34,Other,Sales,Remote,2,2.6326433977848795,2.2926041683536256,2.2153063043873993,3,4,1,Lack of growth
210,2012-10-28,2015-10-28,32,Other,Sales,New York,3,7.865246472914293,4.063078873972571,1.6609671896992144,0,12,1,Retired
211,2019-03-17,2019-03-17,27,Female,Engineering,Remote,4,6.305800865193353,3.5543188864542365,4.865804888165366,8,6,1,Manager conflict
212,2014-07-25,2023-07-23,43,Other,Product,Berlin,5,5.836826751473683,3.371788473904889,2.898632039265716,3,10,0,
213,2016-07-07,2022-07-06,34,Male,HR,Remote,2,7.530545705973531,4.694181962551069,3.61585431624653,2,8,0,
214,2019-04-14,2022-04-13,55,Other,HR,Dubai,4,3.5003261773529113,1.8009927951563323,3.712850470207455,10,5,0,
215,2016-07-22,2017-07-22,32,Male,Sales,Remote,1,6.839305778941703,3.4969873968161607,3.3954693879651328,0,8,0,
216,2017-10-07,2021-10-06,40,Female,Product,Dubai,3,8.390819799954265,1.2543328010061638,2.445954575488659,5,7,0,
217,2012-03-12,2023-03-10,28,Other,HR,New York,4,5.290744442796541,3.4690493520680654,4.108081594984205,8,13,0,
